name	path	category	risk	executable	description
linky_builder_agent.sh	/home/schattenmacher/openclaw_training/scripts/linky_builder_agent.sh	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
mentor_ihk_mfp_agent.sh	/home/schattenmacher/openclaw_training/scripts/mentor_ihk_mfp_agent.sh	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
mentor_ihk_mfp_agent.sh.bak.safe_20260502_074730	/home/schattenmacher/openclaw_training/scripts/mentor_ihk_mfp_agent.sh.bak.safe_20260502_074730	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,security,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
courier_mail_briefing_agent.py	/home/schattenmacher/openclaw_training/scripts/courier_mail_briefing_agent.py	core_status,memory_docs,mission_control,agent_runtime,mail_courier,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,setup_install	medium	yes	import os / import re
courier_mail_briefing_agent.py.bak.starttls_selfsigned_20260502_095804	/home/schattenmacher/openclaw_training/scripts/courier_mail_briefing_agent.py.bak.starttls_selfsigned_20260502_095804	core_status,memory_docs,mission_control,agent_runtime,mail_courier,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,setup_install	medium	yes	import os / import re
courier_mail_briefing_agent.py.bak.starttls_selfsigned_20260502_095851	/home/schattenmacher/openclaw_training/scripts/courier_mail_briefing_agent.py.bak.starttls_selfsigned_20260502_095851	core_status,memory_docs,mission_control,agent_runtime,mail_courier,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,setup_install	medium	yes	import os / import re
steward_finance_housing_agent.sh	/home/schattenmacher/openclaw_training/scripts/steward_finance_housing_agent.sh	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,finance_housing,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
strategist_career_agent.sh	/home/schattenmacher/openclaw_training/scripts/strategist_career_agent.sh	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,prompt_code,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
openclaw_security_health_twice_daily.sh	/home/schattenmacher/openclaw_training/scripts/openclaw_security_health_twice_daily.sh	core_status,memory_docs,mission_control,agent_runtime,security,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
mnemosyne_memory_curator_agent.sh	/home/schattenmacher/openclaw_training/scripts/mnemosyne_memory_curator_agent.sh	core_status,memory_docs,mission_control,agent_runtime,security,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
mnemosyne_memory_curator_agent.sh.bak.safe_20260502_073949	/home/schattenmacher/openclaw_training/scripts/mnemosyne_memory_curator_agent.sh.bak.safe_20260502_073949	core_status,memory_docs,mission_control,agent_runtime,security,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
mnemosyne_memory_curator_agent.sh.bak.today_var_20260502_073901	/home/schattenmacher/openclaw_training/scripts/mnemosyne_memory_curator_agent.sh.bak.today_var_20260502_073901	core_status,memory_docs,mission_control,agent_runtime,security,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
mission_control_phase2_status.sh	/home/schattenmacher/openclaw_training/scripts/mission_control_phase2_status.sh	core_status,memory_docs,mission_control,agent_runtime,security,rag_lora_llm	medium	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
shadowmaker_freeze_report_no_sudo.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_freeze_report_no_sudo.sh	core_status,memory_docs,mission_control,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
shadowmaker_daily_delight.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_daily_delight.sh	core_status,memory_docs,mission_control,ihk_mfp,career,finance_housing,prompt_code,discord_telegram,rag_lora_llm,freeze_backup	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
deep_security_check_readonly.sh	/home/schattenmacher/openclaw_training/scripts/deep_security_check_readonly.sh	core_status,memory_docs,mission_control,security,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
openclaw_workspace_audit_readonly.sh	/home/schattenmacher/openclaw_training/scripts/openclaw_workspace_audit_readonly.sh	core_status,memory_docs,mission_control,security,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
repair_mission_control_webui_tailwind_20260502_072653.txt	/home/schattenmacher/openclaw_training/reports/repair_mission_control_webui_tailwind_20260502_072653.txt	core_status,memory_docs,mission_control,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install	medium	no	============================================================ / REPAIR MISSION CONTROL WEBUI TAILWIND
security_audit_to_discord.sh	/home/schattenmacher/openclaw_training/scripts/security_audit_to_discord.sh	core_status,security,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
shadowmaker_stack_logs.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_stack_logs.sh	discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / echo ""== CrashBandicot Logs =="""
setup_schatten_watch_bot_wizard_20260502_000858.txt	/home/schattenmacher/openclaw_training/reports/setup_schatten_watch_bot_wizard_20260502_000858.txt	memory_docs,discord_telegram,rag_lora_llm,setup_install	medium	no	============================================================ / SCHATTEN WATCH BOT WIZARD
local_exam_ai_test.sh	/home/schattenmacher/openclaw_training/local_exam_ai_test.sh	memory_docs,ihk_mfp,prompt_code,rag_lora_llm,freeze_backup,setup_install	medium	no	"set -Eeuo pipefail / PROJECT_DIR=""$HOME/openclaw_training"""
run_final_scorer_test.sh	/home/schattenmacher/openclaw_training/run_final_scorer_test.sh	memory_docs,ihk_mfp,rag_lora_llm	medium	no	"set -Eeuo pipefail / PROJECT_DIR=""$HOME/openclaw_training"""
prompt_to_code_review.sh	/home/schattenmacher/openclaw_training/scripts/prompt_to_code_review.sh	memory_docs,mission_control,ihk_mfp,career,prompt_code,security,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
ihk_mfp_drill.sh	/home/schattenmacher/openclaw_training/scripts/ihk_mfp_drill.sh	memory_docs,mission_control,ihk_mfp,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
finance_housing_readonly_report.sh	/home/schattenmacher/openclaw_training/scripts/finance_housing_readonly_report.sh	memory_docs,mission_control,ihk_mfp,finance_housing,discord_telegram,rag_lora_llm	medium	yes	"set -Eeuo pipefail / TS=""$(date +%Y%m%d_%H%M%S)"""
courier_gmail_oauth.sh	/home/schattenmacher/openclaw_training/scripts/courier_gmail_oauth.sh	mission_control,agent_runtime,mail_courier,rag_lora_llm	medium	yes	"set -Eeuo pipefail / BASE=""$HOME/openclaw_training"""
